strategy,keep_ratio,accuracy,latency_ms,peak_vram_gb,tokens_used,acc_yesno,acc_number,acc_other,n_samples
baseline,1.0,0.609,763.0026251189893,15.993881420288,576.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
norm,0.5,0.609,765.4783234020034,15.957001820672001,288.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
uniform,0.75,0.609,762.8513794400288,15.975424738816,432.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
uniform,0.5,0.609,765.1370396639724,15.957001820672001,288.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
uniform,0.25,0.609,759.7541617880006,15.938670716416,144.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
norm,0.75,0.609,763.6988523930304,15.975424738816,432.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
norm,0.25,0.609,760.5161270339777,15.938670716416,144.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
merge,0.75,0.609,823.9394506319841,15.975424738816,432.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
merge,0.5,0.609,880.9376826459646,15.957001820672001,288.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
merge,0.25,0.609,939.046026071963,15.938670716416,144.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
pool,0.75,0.609,765.1987797340624,15.971321668096,400.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
pool,0.5,0.609,762.7472177249747,15.953557007872,256.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
pool,0.25,0.609,761.5049693959936,15.938670716416,144.0,0.7864077669902912,0.024390243902439025,0.6064516129032258,1000
